system:time_start,temperature_2m
"Jan 1, 2019","280,126,378,354.357"
"Feb 1, 2019","284,555,156,130.751"
"Mar 1, 2019","284,580,958,397.158"
"Apr 1, 2019","290,187,198,248.72"
"May 1, 2019","296,575,975,502.54"
"Jun 1, 2019","297,646,866,962.957"
"Jul 1, 2019","300,134,654,757.496"
"Aug 1, 2019","299,556,563,592.726"
"Sep 1, 2019","300,252,233,366.873"
"Oct 1, 2019","293,102,679,145.856"
"Nov 1, 2019","283,183,581,788.556"
"Dec 1, 2019","282,641,793,617.186"
"Jan 1, 2020","282,279,487,696.725"
"Feb 1, 2020","282,397,511,965.202"
"Mar 1, 2020","288,301,066,391.985"
"Apr 1, 2020","288,470,666,968.9"
"May 1, 2020","292,527,142,983.762"
"Jun 1, 2020","297,398,099,443.024"
"Jul 1, 2020","299,644,620,720.455"
"Aug 1, 2020","299,021,376,763.621"
"Sep 1, 2020","295,249,002,801.982"
"Oct 1, 2020","291,641,703,577.301"
"Nov 1, 2020","286,883,986,498.016"
"Dec 1, 2020","279,803,704,139.328"
"Jan 1, 2021","280,415,642,276.887"
"Feb 1, 2021","280,848,120,087.001"
"Mar 1, 2021","286,956,053,658.425"
"Apr 1, 2021","288,574,102,484.011"
"May 1, 2021","293,201,166,712.733"
"Jun 1, 2021","296,984,930,663.015"
"Jul 1, 2021","298,336,187,296.318"
"Aug 1, 2021","298,555,493,945.34"
"Sep 1, 2021","294,966,215,421.639"
"Oct 1, 2021","291,330,868,469.47"
"Nov 1, 2021","283,462,896,648.731"
"Dec 1, 2021","285,480,298,741.417"
"Jan 1, 2022","278,754,565,164.758"
"Feb 1, 2022","282,551,009,939.498"
"Mar 1, 2022","285,944,400,180.525"
"Apr 1, 2022","288,866,731,532.726"
"May 1, 2022","295,122,722,404.958"
"Jun 1, 2022","298,940,671,371.011"
"Jul 1, 2022","299,114,563,303.157"
"Aug 1, 2022","298,064,164,245.528"
"Sep 1, 2022","295,330,403,941.285"
"Oct 1, 2022","289,369,519,444.224"
"Nov 1, 2022","285,791,739,288.031"
"Dec 1, 2022","281,050,310,283.277"
"Jan 1, 2023","282,683,974,407.807"
"Feb 1, 2023","285,560,784,864.826"
"Mar 1, 2023","285,966,481,447.069"
"Apr 1, 2023","289,198,424,594.854"
"May 1, 2023","292,622,315,598.017"
"Jun 1, 2023","296,608,351,953.045"
"Jul 1, 2023","300,081,445,997.987"
"Aug 1, 2023","299,771,358,315.06"
"Sep 1, 2023","296,046,153,787.85"
"Oct 1, 2023","290,944,367,239.251"
"Nov 1, 2023","285,304,832,801.32"
"Dec 1, 2023","281,816,418,578.397"
"Jan 1, 2024","278,841,499,253.815"
"Feb 1, 2024","282,989,432,798.518"
"Mar 1, 2024","286,300,107,028.196"
"Apr 1, 2024","289,987,192,933.076"
"May 1, 2024","294,793,558,398.204"
"Jun 1, 2024","299,085,086,608.089"
"Jul 1, 2024","299,352,318,858.437"
"Aug 1, 2024","299,392,650,615.106"
"Sep 1, 2024","296,250,316,710.877"
"Oct 1, 2024","291,326,127,028.782"
"Nov 1, 2024","287,623,125,315.648"
